연도,시도,고구마면적,고구마단수,고구마생산량,감자면적,감자단수,감자생산량
2016,계,23151,1474,341225,22000,2526,555670
2016,서울특별시,6,1392,84,6,2917,175
2016,부산광역시,50,877,439,44,1195,526
2016,대구광역시,77,1030,793,123,2625,3229
2016,인천광역시,833,1691,14086,171,2788,4767
2016,광주광역시,82,1914,1569,61,2257,1377
2016,대전광역시,82,1370,1123,53,2621,1389
2016,울산광역시,94,1505,1415,65,2597,1688
2016,세종특별자치시,106,1331,1411,51,2367,1207
2016,경기도,3827,1392,53272,1918,2872,55083
2016,강원도,437,2529,11052,5137,3208,164796
2016,충청북도,1696,1532,25983,1204,2484,29911
2016,충청남도,3507,1288,45170,1925,2698,51931
2016,전라북도,3805,1613,61375,1607,1840,29565
2016,전라남도,5391,1546,83345,2166,2388,51732
2016,경상북도,1711,1307,22363,3653,2343,85604
2016,경상남도,1242,1182,14680,2035,2300,46805
2016,제주도,205,1495,3065,1781,1453,25886
2017,계,21684,1499,324960,20974,2225,466755
2017,서울특별시,9,1210,110,6,1727,106
2017,부산광역시,54,949,516,53,1650,869
2017,대구광역시,78,993,777,100,2184,2190
2017,인천광역시,826,1536,12688,147,2583,3800
2017,광주광역시,91,1613,1475,84,2208,1858
2017,대전광역시,56,1466,818,38,1903,731
2017,울산광역시,111,1828,2025,66,2261,1490
2017,세종특별자치시,89,1163,1039,55,1950,1081
2017,경기도,3881,1210,46966,1811,2205,39927
2017,강원도,519,1511,7842,4891,2826,138249
2017,충청북도,1571,1506,23664,1212,2019,24473
2017,충청남도,3285,1242,40797,2287,1925,44022
2017,전라북도,3537,1814,64159,1656,1888,31264
2017,전라남도,4884,1775,86685,2123,2226,47267
2017,경상북도,1380,1272,17554,2943,1976,58168
2017,경상남도,1156,1288,14893,1929,2220,42820
2017,제주도,155,1900,2952,1571,1810,28440
2018,계,20948,1457,305304,23402,2342,548065
2018,서울특별시,6,1312,78,6,2439,148
2018,부산광역시,46,2379,1098,53,2009,1069
2018,대구광역시,58,940,541,61,2199,1348
2018,인천광역시,680,1054,7165,160,2905,4645
2018,광주광역시,85,1580,1348,46,1646,749
2018,대전광역시,44,1435,629,44,2127,926
2018,울산광역시,119,563,670,97,2580,2493
2018,세종특별자치시,70,1146,797,32,2485,785
2018,경기도,3712,1312,48705,1833,2417,44293
2018,강원도,466,1554,7240,5148,2722,140121
2018,충청북도,1515,1251,18951,1367,2304,31498
2018,충청남도,2965,1180,34984,2419,2264,54755
2018,전라북도,3459,1615,55861,1886,2206,41617
2018,전라남도,5114,1855,94862,2751,2212,60851
2018,경상북도,1414,1277,18056,3484,2324,80983
2018,경상남도,1100,1176,12933,1912,2180,41684
2018,제주도,97,1430,1385,2104,1906,40101
2019,계,21941,1679,368324,26829,2573,690419
2019,서울특별시,7,1455,106,5,2462,122
2019,부산광역시,56,687,387,65,1735,1122
2019,대구광역시,56,636,357,95,1777,1683
2019,인천광역시,744,1501,11163,196,1944,3815
2019,광주광역시,72,1230,883,44,2174,961
2019,대전광역시,62,1454,902,52,2913,1526
2019,울산광역시,107,563,604,119,2019,2406
2019,세종특별자치시,61,945,580,50,2183,1099
2019,경기도,3714,1455,54035,2124,2485,52789
2019,강원도,563,1282,7218,5913,3368,199157
2019,충청북도,1602,1206,19320,1467,2352,34507
2019,충청남도,3044,1244,37872,2920,2379,69463
2019,전라북도,3572,1645,58767,2580,2204,56873
2019,전라남도,5572,2477,138011,3205,2757,88353
2019,경상북도,1494,1382,20652,3660,2310,84568
2019,경상남도,1107,1434,15869,2680,2236,59918
2019,제주도,107,1495,1598,1653,1939,32059
2020,계,22262,1482,329927,23599,2344,553194
2020,서울특별시,6,400,23,7,2460,180
2020,부산광역시,51,676,348,100,1475,1468
2020,대구광역시,70,637,448,87,2297,2002
2020,인천광역시,869,1532,13313,177,2110,3739
2020,광주광역시,82,1402,1147,42,1842,769
2020,대전광역시,71,1397,993,51,2157,1100
2020,울산광역시,129,565,728,69,2012,1380
2020,세종특별자치시,63,984,617,73,1617,1187
2020,경기도,3586,1290,46264,1691,2450,41430
2020,강원도,551,1425,7850,5253,3154,165702
2020,충청북도,1663,1144,19025,1282,2322,29751
2020,충청남도,3164,1285,40652,2159,2342,50561
2020,전라북도,3539,1690,59804,2226,1960,43611
2020,전라남도,5640,1731,97635,2788,2095,58409
2020,경상북도,1500,1412,21186,3270,2111,69027
2020,경상남도,1209,1558,18840,2761,1839,50779
2020,제주도,68,1539,1054,1565,2051,32099
